;Y;Cancer type;Numerosità;SE;SSE;Deviance;MSE;Variance;Root_MSE;RRSE;RSE;MAE
0;Z-LLNle-CHO_IC_50;pancreas;1;0.26508519437967903;0.07027016027931221;0.0;0.07027016027931221;0.0;0.26508519438;;;0.26508519437967903
0;Z-LLNle-CHO_IC_50;breast;9;0.33369126497049884;39.26619966377301;17.291663084836227;4.3629110737525565;1.9212958983151363;2.08875826121;2.2708168364792605;1.50692296966;1.6593045729011238
0;Z-LLNle-CHO_IC_50;bone;1;-2.075339176161604;4.307032696111126;0.0;4.307032696111126;0.0;2.07533917616;;;2.075339176161604
0;Z-LLNle-CHO_IC_50;thyroid;1;-2.4660229461992316;6.081269171181138;0.0;6.081269171181138;0.0;2.4660229462;;;2.4660229461992316
0;Z-LLNle-CHO_IC_50;skin;9;5.8323439198633285;57.86763614083135;57.75959527009021;6.429737348981261;6.417732807787801;2.53569267637;1.001870526797079;1.00093482645;2.053177114286191
0;Z-LLNle-CHO_IC_50;blood;63;52.6975620321025;450.4403323117356;181.67170425781114;7.149846544630724;2.8836778453620817;2.67391969674;2.4794193138217806;1.57461719596;2.2477650808829304
0;Z-LLNle-CHO_IC_50;nervous_system;22;-25.3649123937066;177.27288277495694;65.99993535640533;8.057858307952587;2.999997061654788;2.83863669883;2.6859554000722596;1.63888846481;2.216728928745645
0;Z-LLNle-CHO_IC_50;digestive_system;13;-6.691721547536793;92.6761476727625;48.508880443038926;7.128934436366346;3.731452341772225;2.67000644875;1.9104985896672373;1.38220786775;2.1927451501371427
0;Z-LLNle-CHO_IC_50;lung;42;-33.715335051782404;266.7091351436297;107.25902549792116;6.3502175034197546;2.553786321379075;2.5199637901;2.4865892068803004;1.57689226229;2.076226948209861
0;Z-LLNle-CHO_IC_50;urogenital_system;6;3.472063624679765;45.124351596643464;19.449618227217332;7.520725266107244;3.2416030378695555;2.74239407564;2.3200636161329644;1.52317550405;2.3988417870000673
0;Z-LLNle-CHO_IC_50;soft_tissue;3;-2.4198589939873063;30.110495784224568;0.3842737484459998;10.036831928074855;0.12809124948199993;3.16809594679;78.3568898629979;8.85194271688;2.6148226146247295
0;Z-LLNle-CHO_AUC;kidney;4;0.04419497134384598;0.04652770774997533;0.04943252132874999;0.011631926937493833;0.012358130332187498;0.107851411384;0.941236791070068;0.970173588112;0.09577398284554287
0;Z-LLNle-CHO_AUC;aero_digestive_tract;11;-0.612077203312607;0.3449224757357672;0.11691182476454548;0.03135658870325156;0.01062834770586777;0.17707791704;2.950278780015825;1.71763755781;0.13643853098767114
0;Z-LLNle-CHO_AUC;pancreas;1;-0.06557742669653988;0.004300398892140061;0.0;0.004300398892140061;0.0;0.0655774266965;;;0.06557742669653988
0;Z-LLNle-CHO_AUC;breast;9;-0.30573110948541526;0.11004262551727655;0.022084982152000013;0.012226958390808505;0.0024538869057777793;0.110575577732;4.982690262546176;2.23219404679;0.08903090189435744
0;Z-LLNle-CHO_AUC;bone;1;-0.24451164034022854;0.05978594226186928;0.0;0.05978594226186928;0.0;0.24451164034;;;0.24451164034022854
0;Z-LLNle-CHO_AUC;thyroid;1;-0.04384111808722546;0.0019220436351380474;0.0;0.0019220436351380474;0.0;0.0438411180872;;;0.04384111808722546
0;Z-LLNle-CHO_AUC;skin;9;0.7728507991712746;0.25813363627629027;0.1864272817668889;0.02868151514181003;0.020714142418543212;0.16935617834;1.3846344474359922;1.17670491094;0.12651316608442517
0;Z-LLNle-CHO_AUC;blood;63;1.6937782184462686;1.0227639299261297;0.3582389703095554;0.016234348094065553;0.0056863328620564355;0.127414081224;2.854976746506267;1.6896676438;0.10336384661393316
0;Z-LLNle-CHO_AUC;nervous_system;22;-1.648271375074655;0.48206816476487985;0.10995712094695453;0.02191218930749454;0.004998050952134297;0.148027663994;4.3841468439087175;2.09383543859;0.12036616045481872
0;Z-LLNle-CHO_AUC;digestive_system;13;0.26742868687535626;0.19467112543447193;0.07320726994492305;0.014974701956497841;0.0056313284573017725;0.122371164726;2.6591775049244606;1.63069847149;0.08885077376947813
0;Z-LLNle-CHO_AUC;lung;42;-0.6187704873121611;0.5538741701560079;0.11964420986761896;0.013187480241809713;0.002848671663514737;0.114836754751;4.629343708056121;2.15159097136;0.09616628868950382
0;Z-LLNle-CHO_AUC;urogenital_system;6;0.3084604523981629;0.17183325544402783;0.09056891457283334;0.028638875907337973;0.015094819095472223;0.16923024525;1.8972652620877295;1.3774125243;0.13286304322295897
0;Z-LLNle-CHO_AUC;soft_tissue;3;-0.1373604414617322;0.04021767050935639;0.0003897151226666663;0.013405890169785462;0.00012990504088888878;0.115783807891;103.19761325699344;10.1586226063;0.08414123854773663
0;combine_BMS;kidney;11;5.907866436321612;25.64948137492445;12.973700326806018;2.3317710340840407;1.1794273024369106;1.52701376355;1.9770366764159002;1.40607136249;1.2630343408924491
0;combine_BMS;aero_digestive_tract;33;30.034472886220904;221.88552064430397;47.983652708003135;6.723803655887999;1.454050082060701;2.59302982163;4.624189867214839;2.15039295647;2.020339327497613
